Minisector,HUL,PER,Fastest
0,318.8785716825397,322.326756167619,PER
1,324.9902777481482,330.58312512000003,PER
2,318.7718072322233,326.76537699894175,PER
3,175.06022882265123,168.8170391699248,HUL
4,137.01320239407409,139.17861551360645,PER
5,268.5664802029471,269.6009054144928,PER
6,299.094444647619,301.69079090709454,PER
7,305.87145840000005,316.60895818666665,PER
8,262.3879985432381,258.34205132518395,HUL
9,157.25865433456346,152.69152731481952,HUL
10,215.86830319999999,219.42417975172413,PER
11,229.0187464678648,224.00035311261422,HUL
12,206.39485752303938,198.87663168786483,HUL
13,273.50359265783754,273.55698600043826,PER
14,304.29101493696146,307.9735774251629,PER
15,311.05119050158726,318.90833333333336,PER
16,254.60299977142859,255.95300168533333,PER
17,214.08910907979413,211.45804996509477,HUL
18,276.7394931478261,277.1991758545342,PER
19,307.47779817912533,309.7871723657143,PER
20,320.3579364910053,322.53211878190274,PER
21,300.5751169538221,296.5321033939394,HUL
22,210.99730335961866,209.3053725686801,HUL
23,267.2512479885486,269.4814693167702,PER
24,302.5771476405797,306.23616753922903,PER
