Minisector,SAI,ALB,Fastest
0,323.3143576140837,321.6347626181901,SAI
1,333.2775759890743,331.50020820444445,SAI
2,329.7467106021053,334.8788888335802,ALB
3,192.2188453711511,189.60595328189459,SAI
4,128.05434171585617,121.65487598558948,SAI
5,269.0824289473646,264.4551126627225,SAI
6,304.1278858495615,300.2159223695238,SAI
7,316.0835192761905,315.2710186161039,SAI
8,277.3768240414815,280.8659176299724,ALB
9,147.11884965893157,142.4292395985939,SAI
10,216.5987524981932,222.14750543374754,ALB
11,223.99621554316738,219.16886580241402,SAI
12,196.75611558023746,194.113343099516,SAI
13,270.8527577265637,267.54511759224056,SAI
14,307.966887638747,304.3438759979221,SAI
15,326.09056260380953,322.4092931305512,SAI
16,272.9849727393939,262.18215025077797,SAI
17,212.56998062784527,213.6258221656733,ALB
18,277.9760028057143,280.5059577892063,ALB
19,309.7664021119845,310.160096722853,ALB
20,324.99864559703707,325.0689931263307,ALB
21,309.3791727237474,294.03571012027214,SAI
22,198.84306801401684,201.34047908868288,ALB
23,265.5298813981505,267.8269817336508,ALB
24,305.7634326796191,303.8229734939508,SAI
25,316.36785737142856,,SAI
