Minisector,HAM,BOR,Fastest
0,312.2283452111271,299.5094079049624,HAM
1,217.20994620069266,200.70969383167062,HAM
2,217.8733288509807,219.59347437013332,BOR
3,271.5708245222071,267.66249743707766,HAM
4,249.71775629205433,245.2417250816,HAM
5,122.15322697755481,125.04066586455524,BOR
6,192.6666569281385,197.20911881877137,BOR
7,244.95706211208488,242.7411968910053,HAM
8,233.45165067542857,237.4459729923423,BOR
9,237.1896915817045,233.28935665747974,HAM
10,287.7554374285022,283.8510623135943,HAM
11,309.87578018526983,307.16687794075585,HAM
12,321.90751305869225,318.3537521247266,HAM
13,319.1726887958095,314.78760568542117,HAM
14,306.61118407314285,303.6670635365079,HAM
15,250.4609167585547,258.84672859691295,BOR
16,239.89093746742856,237.2287377349126,HAM
17,276.44305594074075,275.5361874632035,HAM
18,289.1883292725019,287.29824166741184,HAM
19,151.24198799653018,157.86963723256946,BOR
20,195.36775354759726,189.2650812654469,HAM
21,177.09512128227067,181.1753031787849,BOR
22,134.63641753586165,131.7902778656021,HAM
23,230.23696496604487,230.62873859666627,BOR
24,291.0896583569675,285.38925988975234,HAM
25,305.1000009142857,295.67916586666666,HAM
