Minisector,ALO,STR,Fastest
0,298.3068730952381,315.5572717488212,STR
1,210.8504250496032,203.1123252225834,ALO
2,138.5574997165772,138.2492422548382,ALO
3,217.30293502408972,213.58059368123995,ALO
4,161.68768400113848,156.34500313048574,ALO
5,172.01571252649046,179.14286433641024,STR
6,247.6392211499118,250.85224899963833,STR
7,275.4079731649123,277.4753784491775,STR
8,281.6571758010582,284.0744114967273,STR
9,252.9551927669841,255.1477408724205,STR
10,240.1139087472864,242.57828240205365,STR
11,243.24155869588702,234.39061506650205,ALO
12,210.46348233630476,198.4294277185185,ALO
13,138.97578371833802,128.3567467296123,ALO
14,141.81564898102198,134.32222828478763,ALO
15,173.3347488128,173.67219013102348,STR
16,246.62130883809522,256.06273709326223,STR
17,232.8877470104838,223.33258361325989,ALO
18,113.04922973318492,111.59368831870837,ALO
19,191.35019704491773,197.07352845765482,STR
20,193.14985950355054,195.5481950314413,STR
21,231.43220217433768,231.8096243960494,STR
22,270.22312635296703,269.19089336461155,ALO
23,293.5956894541075,293.5792205415758,ALO
24,310.80242967183676,311.0448863709091,STR
