Minisector,HAM,TSU,Fastest
0,252.37132080529685,249.45692882362303,HAM
1,288.08414703238094,284.7479092099048,HAM
2,181.29675380743498,179.2825028443224,HAM
3,155.00061157803174,159.79065162849503,TSU
4,256.3872006399782,256.0692460319414,HAM
5,276.0830705430303,268.2868110715509,HAM
6,242.95835390085674,233.97351907849622,HAM
7,212.85091726575962,205.20340282875688,HAM
8,154.4203134119472,163.76828428171237,TSU
9,218.13142598463352,216.54303290612248,HAM
10,272.92857509356423,269.45561285968256,HAM
11,127.17181453113196,135.55955436565682,TSU
12,211.01221357219035,209.49219061534862,HAM
13,276.43514438655075,275.8195806604279,HAM
14,298.3856169196505,295.2359850446281,HAM
15,307.1550672650472,304.9730324177778,HAM
16,238.37138613228157,235.04651390093835,HAM
17,128.2908261153879,128.39105183019473,TSU
18,128.70370035502566,122.65840469143961,HAM
19,118.49131602748021,121.63296016285878,TSU
20,227.91446960761903,225.17539274766875,HAM
21,260.5867714052003,257.1822081123319,HAM
22,247.38339456234146,242.77854691003174,HAM
23,222.67968173478457,219.69432249855888,HAM
24,136.09421594965784,134.1880287761272,HAM
25,218.38333333333333,215.8750048,HAM
