Minisector,PIA,HUL,Fastest
0,289.38222248296296,298.9879998933333,HUL
1,296.52481834713444,306.1179087557168,HUL
2,167.51651496320832,155.20041821165384,PIA
3,221.87008159815628,220.15622108645675,PIA
4,270.53243821883194,271.63987372997195,HUL
5,292.8957123413333,292.46357755981575,PIA
6,297.5039356444444,294.89259691838953,PIA
7,174.9564614908121,173.97231337583068,PIA
8,124.4025971723034,121.91742381714286,PIA
9,250.1613565511111,250.0929606781355,PIA
10,288.68512991525733,285.22729575502245,PIA
11,300.6843866495548,294.17088886044445,PIA
12,146.20685438203333,139.79375838671297,PIA
13,193.0973128752171,187.37996864596275,PIA
14,254.26812698324883,252.79994987468672,PIA
15,200.57119039459573,190.66267355300127,PIA
16,216.9397613277091,205.71966075154324,PIA
17,214.95714614760686,196.2275372857143,PIA
18,243.70749363580953,233.8479390939337,PIA
19,279.10839557078054,272.79136507936505,PIA
20,296.3451781746939,290.9760914202838,PIA
21,264.41037382858417,253.75925249284552,PIA
22,226.34527375447993,216.80099556848364,PIA
23,203.92102048979592,201.25884170392345,PIA
24,263.2673698976312,262.6054989489071,PIA
25,,279.87000064,HUL
