Minisector,SAI,STR,Fastest
0,290.6941358649639,290.46477019083926,SAI
1,301.85746073656867,298.74204541090904,SAI
2,307.16278256435953,303.4564979326984,SAI
3,303.6289411030913,295.1833035009702,SAI
4,166.47145259367295,159.91549311731137,SAI
5,202.22805782568508,208.62309530257863,STR
6,229.92610987123808,236.63583284977776,STR
7,261.6085296409269,262.24208301087947,STR
8,252.08842870857143,247.25906100538037,SAI
9,159.10365081094983,157.21354401391758,SAI
10,222.4741809044888,224.11091690946913,STR
11,125.34803875649072,125.34333884937386,SAI
12,225.90557089415358,224.0210658725898,SAI
13,178.2954629377064,171.7236897582631,SAI
14,210.83847006432023,216.6477477179209,STR
15,235.81121355301585,238.0077886002886,STR
16,257.8872881559906,259.5032271688699,STR
17,285.0229916377554,281.6643938946786,SAI
18,149.38884318652498,149.80381819864965,STR
19,163.76787539033833,159.76550290980336,SAI
20,137.33847565133487,137.69454878439691,STR
21,224.3689154806653,226.68371616177504,STR
22,258.0015396162097,261.4438181108803,STR
23,246.2586290591085,250.26330876795163,STR
24,274.7749321507858,273.4270354759932,SAI
