Minisector,RUS,HAM,Fastest
0,296.8299523356914,294.17166097828573,RUS
1,305.3689275140773,305.68451135839604,HAM
2,289.29620567741927,285.0414087295789,RUS
3,109.33598616360315,106.92959692855476,RUS
4,234.4234478379149,214.92837074965988,RUS
5,278.69652500116877,273.3928001667799,RUS
6,190.9139797058782,226.89944325474426,HAM
7,164.79157016889536,145.8033096729046,RUS
8,198.86040124285032,209.7072604937111,HAM
9,208.17780702312925,218.65570491418805,HAM
10,123.22095708558824,116.41229175101427,RUS
11,232.11498031705406,225.00024928369936,RUS
12,114.81526393010333,124.47062786640501,HAM
13,225.40718107238095,211.45550323432198,RUS
14,282.00820516087003,275.6778329405179,RUS
15,203.32858975632183,233.6264570527924,HAM
16,195.75788713521968,177.4827142006526,RUS
17,241.76213122452106,248.10877031619046,HAM
18,189.45694721733832,217.28729645579241,HAM
19,192.6412152667858,161.261438382541,RUS
20,267.2674514055032,256.0931702499702,RUS
21,294.50057079920634,287.4254276439827,RUS
22,174.1948901128319,189.79360205221641,HAM
23,217.79843376229272,192.9117116094331,RUS
24,274.3854369567347,264.95549378660235,RUS
25,287.0333340444444,286.52319505777774,RUS
