Minisector,PIA,HAM,Fastest
0,255.3130430167693,257.5231736068376,HAM
1,140.12331857822718,136.80631336410258,PIA
2,204.53212554149894,207.2903887409414,HAM
3,249.21795169581472,247.94119068647618,PIA
4,249.86677213333334,255.86461451247166,HAM
5,180.6058698037262,176.98077723210088,PIA
6,149.11971515560634,153.7861502877193,HAM
7,190.6697977447619,189.3301934062512,PIA
8,104.27230839363129,102.14539542545751,PIA
9,72.81734494027859,71.59907226394252,PIA
10,99.21908346686897,102.15063182996063,HAM
11,190.84586676584794,195.52744227049962,HAM
12,249.4444502584127,247.45168314923276,PIA
13,271.38461763662986,269.91129855104896,PIA
14,282.15311247329765,270.67055555555555,PIA
15,116.09885726945542,107.49145844876998,PIA
16,154.7394850479587,158.82737019947027,HAM
17,195.02603336126984,188.9328871351082,PIA
18,200.14270440435237,205.08270233426703,HAM
19,213.73487738057145,215.966997552461,HAM
20,141.47823814978779,142.423009430009,HAM
21,114.42442424533444,112.15501335526763,PIA
22,97.97714051295762,105.57315272562357,HAM
23,198.09813879945577,207.0861073453643,HAM
24,257.8868352027788,252.99722026973797,PIA
