Minisector,PIA,HAD,Fastest
0,255.3130430167693,244.73312409481483,PIA
1,140.12331857822718,132.755980835745,PIA
2,204.53212554149894,202.33532847238095,PIA
3,249.21795169581472,240.67619221865817,PIA
4,249.86677213333334,256.5345120386552,HAD
5,180.6058698037262,182.7355861586462,HAD
6,149.11971515560634,145.37866543509477,PIA
7,190.6697977447619,182.760714615873,PIA
8,104.27230839363129,102.60158140491819,PIA
9,72.81734494027859,74.02122326920241,HAD
10,99.21908346686897,95.64685406314483,PIA
11,190.84586676584794,181.14819057181612,PIA
12,249.4444502584127,240.01801294048175,PIA
13,271.38461763662986,262.48628254420515,PIA
14,282.15311247329765,270.30162023032966,PIA
15,116.09885726945542,113.28587021854105,PIA
16,154.7394850479587,140.1437220119228,PIA
17,195.02603336126984,178.882686688,PIA
18,200.14270440435237,195.15591604159698,PIA
19,213.73487738057145,211.34263606328176,PIA
20,141.47823814978779,133.51410357469925,PIA
21,114.42442424533444,109.14083055654797,PIA
22,97.97714051295762,102.7985382928402,HAD
23,198.09813879945577,199.19132884825396,HAD
24,257.8868352027788,246.50137780918396,PIA
