Minisector,HAM,BEA,Fastest
0,295.4111663869804,291.1336594426272,HAM
1,147.27377355340806,147.34126403190723,BEA
2,223.4939439963186,227.3348239964322,BEA
3,280.73313044462583,280.0604650938525,HAM
4,313.4246593575287,311.4460142334199,HAM
5,303.56120996502165,302.14195573280705,HAM
6,149.95021227934396,149.9979445308279,BEA
7,252.058401301231,255.48986474880397,BEA
8,113.5668474082584,112.57273353471429,HAM
9,173.64137658378067,175.3590272694472,BEA
10,280.50226787613275,281.35545649982873,BEA
11,304.24630228009886,305.0143693919628,BEA
12,208.0783652102876,214.69706397768041,BEA
13,177.7836887242369,170.7179992118013,HAM
14,281.9105364115237,280.8510743423457,HAM
15,314.21959080137117,312.995845415873,HAM
16,327.8394865080277,327.3733721888584,HAM
17,334.8199318048881,333.59212389505035,HAM
18,338.26306348583046,337.11350655910366,HAM
19,339.7153835212949,339.5431762705314,HAM
20,178.59671774468495,188.03949827468745,BEA
21,176.37726251123664,178.97977091438358,BEA
22,278.81231190349206,284.325632538446,BEA
23,314.0904020614204,315.1401975366289,BEA
24,326.11980158984125,324.2088256740136,HAM
25,326.3333333333333,,HAM
