Minisector,ALB,SAI,Fastest
0,276.20412872093516,277.210995002963,SAI
1,299.2438947866932,301.2312342095238,SAI
2,295.6812210940741,302.1008333866667,SAI
3,167.13056476466807,175.7929210118657,SAI
4,116.2435125128216,114.97488917702717,ALB
5,237.8247363251542,236.8621804245754,ALB
6,295.76734345456094,285.79232054943407,ALB
7,312.324110385852,304.16328145888195,ALB
8,167.6836929886803,177.83053860534875,SAI
9,136.60785738842623,133.85615044424762,ALB
10,248.31646450864048,244.5445176234576,ALB
11,288.935539429418,289.5805947244396,SAI
12,301.28522403755994,304.111989664,SAI
13,273.5208730854603,284.80156834915834,SAI
14,294.3223429472464,294.91166662933335,SAI
15,294.15733974455026,296.62660330786605,SAI
16,245.01247502412699,259.53232499479697,SAI
17,220.93430359282348,215.36996965352523,ALB
18,284.82445768528925,272.03981068021164,ALB
19,317.628368762003,300.08516818266634,ALB
20,323.819408957193,310.4360567070599,ALB
21,216.9157972467664,230.26844476838534,SAI
22,255.3210314685137,252.756167064719,ALB
23,129.46157138934782,138.40862991676485,SAI
24,207.1082659879972,189.9971908995633,ALB
25,255.63333546666667,253.40659733333334,ALB
