Minisector,PIA,HAM,Fastest
0,302.128556670295,304.9373891555957,HAM
1,237.52739036991454,236.2628714138351,PIA
2,126.78739370205129,130.64283335070755,HAM
3,236.30344317988107,239.90483706489206,HAM
4,193.67421167389782,191.26712426383253,PIA
5,250.16349373088434,239.62073367286936,PIA
6,234.37433602153754,228.22824481966694,PIA
7,253.90082086095236,250.85328552563809,PIA
8,291.41839935464714,293.19982008751344,HAM
9,204.4622433401803,208.83994604677486,HAM
10,203.98679846373759,206.3977150508412,HAM
11,274.92345687515154,276.4222359837028,HAM
12,218.86932661469734,208.30689687499532,PIA
13,257.04772291746343,255.07413434357042,PIA
14,292.91717932068116,295.75613217070446,HAM
15,307.37201534406927,311.62294570766176,HAM
16,305.35221360949686,315.22127975328794,HAM
17,207.85528911238097,208.78276377470667,HAM
18,262.0441611052237,264.19457224804233,HAM
19,295.00649822877784,301.395611872724,HAM
20,309.64888414451445,323.5586384594609,HAM
21,307.126313068323,328.87479128,HAM
22,149.76641914926316,155.91073658823456,HAM
23,233.62241292272964,241.81378701718438,HAM
24,286.12119175005347,299.2580009394663,HAM
25,297.39000064,,PIA
