Minisector,LEC,HAD,Fastest
0,287.581810932321,287.6609683390899,HAD
1,305.21720411390345,304.05829753953935,LEC
2,305.6606829950938,300.26041106830996,LEC
3,201.8198385583473,203.72241385689293,HAD
4,234.0118638455944,236.54590795147166,HAD
5,223.39987038384928,224.83708606301042,HAD
6,205.06525097991704,207.4859161166298,HAD
7,227.08432976017957,232.83344417668937,HAD
8,265.04933074239773,269.3471033927828,HAD
9,277.2511915423084,268.07070980392155,LEC
10,176.61668690591407,180.10518937866124,HAD
11,237.40009560915985,235.33853965366254,LEC
12,121.06820534257054,119.31431130270333,LEC
13,221.31305989250663,222.84464073611468,HAD
14,278.03097547826087,277.85389436449043,LEC
15,293.924589202963,290.157638557135,LEC
16,226.4788249579233,215.44366134870495,LEC
17,185.17509748395793,190.07439541642793,HAD
18,266.54880331409595,267.40742259590587,HAD
19,292.5762795323077,292.8769259711111,HAD
20,304.43842784242423,304.34054360347824,LEC
21,306.2201885622575,305.06054030152956,LEC
22,272.28572413856983,275.59673290243387,HAD
23,120.47256576771365,120.218802800585,LEC
24,247.84176429154834,245.7995696043754,LEC
25,,273.44166613333334,HAD
