Minisector,GAS,ALO,Fastest
0,290.65192311794874,293.87666282666663,ALO
1,159.53220767783338,158.771121954544,GAS
2,153.04276129317523,150.54781423074047,GAS
3,222.30913978494624,222.3687432775988,ALO
4,283.56116671699755,283.33659503542856,GAS
5,289.73904761904765,290.76433352533337,ALO
6,146.29765568166556,144.72494942012676,GAS
7,141.17949596596677,141.06778258857796,GAS
8,149.17388938809256,145.59658818358974,GAS
9,179.247765861328,180.19499468902043,ALO
10,134.8563572998248,128.30786234862822,GAS
11,130.6675700579114,125.97644101812242,GAS
12,161.125575110028,167.00983665500473,ALO
13,265.1409968315801,266.95178894528436,ALO
14,290.7210144927536,285.94947405300934,GAS
15,154.66574864071345,150.1083538012101,GAS
16,211.12410071162935,210.4664284952381,GAS
17,167.08995653941153,166.6611159783429,GAS
18,267.60500946867245,269.33297752879275,ALO
19,290.4425843809524,293.96683336533334,ALO
20,302.5915427111111,308.0400432900433,ALO
21,310.2536231884058,316.77228271304347,ALO
22,314.2809028,319.6666666666667,ALO
23,315.7915715795868,323.14278337163506,ALO
24,311.9520832820513,315.2572464231884,ALO
