Minisector,HAM,TSU,Fastest
0,299.1199349989326,290.5752452860618,HAM
1,157.76794806908887,160.43257309513783,TSU
2,168.5277662607423,171.22125801373187,TSU
3,254.80479386196592,252.239609242197,HAM
4,291.36668866680986,286.47947929227513,HAM
5,254.77010897015873,251.09390971496694,HAM
6,223.5875817027417,222.85813781198053,HAM
7,147.48410419255208,150.11115435172164,TSU
8,227.87134498489553,230.75457871116188,TSU
9,281.85694824704035,279.84189386323976,HAM
10,303.1314769108805,298.1689325018182,HAM
11,318.9677409669747,306.7632220046956,HAM
12,329.06488010857584,310.13642174690057,HAM
13,326.41113746269036,306.0938198331429,HAM
14,121.82595330072748,124.87962239924047,TSU
15,112.54321326018466,118.413709542642,TSU
16,101.41633915813871,100.76490469097155,HAM
17,238.03510113431875,235.51862022335354,HAM
18,287.8268052839506,286.2375937130827,HAM
19,313.99093591448747,305.49881949921223,HAM
20,330.7956947405752,316.0772910168441,HAM
21,332.3314177163636,317.88075750905983,HAM
22,123.15590290020626,123.48126973632105,TSU
23,200.870987649032,203.47945283981852,TSU
24,271.0140822472727,267.5036798247934,HAM
25,290.0285696,281.95357074285715,HAM
