Minisector,VER,HAM,Fastest
0,293.1554306769748,312.8165698499002,HAM
1,300.2954629807407,322.0907417459341,HAM
2,217.80279537888197,248.6669167879699,HAM
3,140.58670430603175,137.2761723078403,VER
4,214.8626287777778,222.23156739302135,HAM
5,164.15609796195153,166.42228747391405,HAM
6,168.50884807874704,166.93413457751433,VER
7,253.25606014075186,245.65941592900433,VER
8,278.32180117542464,277.74983795555556,VER
9,287.3996862005195,286.52598644341225,VER
10,270.87328096,265.33193647662307,VER
11,251.7782818159615,231.70946241342403,VER
12,243.78164631111113,239.89544161689477,VER
13,218.3725450506718,210.86692945789872,VER
14,134.54785913898638,129.22600970013738,VER
15,143.10414373919414,143.59181748963923,HAM
16,176.03985003914275,167.19891703656188,VER
17,244.86257587831153,245.26698921289275,HAM
18,246.41849301866668,244.3009715488061,VER
19,117.16545219578514,114.12234321313201,VER
20,190.73598459733333,189.3338775887403,VER
21,200.36983638742018,200.9925870543035,HAM
22,235.8077233062857,232.7957083491639,VER
23,262.3475900757086,268.608619394211,HAM
24,281.17166454290594,294.1047779027059,HAM
25,289.8,,VER
