Minisector,LEC,VET,Fastest
0,263.4322802365915,271.29185804559313,VET
1,278.842438330005,297.6771527777778,VET
2,284.0041207851313,309.40089299809523,VET
3,135.02600406235544,121.54904319896328,LEC
4,187.70623632539363,195.0998189537476,VET
5,251.92085026184128,253.14132034632036,VET
6,139.43841607846284,131.09850294029272,LEC
7,217.64575484952383,201.00524594909092,LEC
8,255.31718365579832,256.0045856916763,VET
9,275.6696048617544,276.0338062746599,VET
10,228.95377779402057,226.42255841396826,LEC
11,176.61188423506172,175.11253719521505,LEC
12,190.08567519006735,191.53195214682464,VET
13,136.89634170683158,133.3908688166367,LEC
14,173.65543643260384,166.7255243707427,LEC
15,156.9004830996682,151.06827247777778,LEC
16,212.0465218634383,213.5831024872226,VET
17,227.4888662349206,223.2404075478261,LEC
18,237.0043501159301,231.1789255120988,LEC
19,240.24048957540518,227.570449948436,LEC
20,143.49662866010152,140.92355679377368,LEC
21,138.87122782561826,133.79492439301865,LEC
22,163.68599605255275,166.4982396964664,VET
23,147.86212461067424,144.80942522259102,LEC
24,224.46521673015874,223.35215654647345,LEC
