Minisector,LEC,OCO,Fastest
0,282.37971085687803,280.333519874188,LEC
1,299.570410730284,300.189181095524,OCO
2,293.9512031924544,296.50912177342406,OCO
3,169.61960263667453,171.8142892524108,OCO
4,216.97183358653174,210.23466100634923,LEC
5,196.67488637288739,197.83975069421558,OCO
6,175.10978268145524,170.81243078629637,LEC
7,199.89491850525727,194.57314603413633,LEC
8,252.26980868002383,248.8940306727202,LEC
9,264.84622327238094,256.2926704499471,LEC
10,163.1674900898324,161.48781017932467,LEC
11,232.2946842740497,229.25276182474994,LEC
12,111.34401498118586,110.50848813286048,LEC
13,223.74716717489252,219.64480294830759,LEC
14,276.55446844557724,274.1835156305589,LEC
15,293.4332961,289.35559255188406,LEC
16,204.70572119264182,204.90338431448043,OCO
17,184.11337522739078,173.72977977937595,LEC
18,260.6507581554669,262.3908343372604,OCO
19,292.0693109044346,291.0978458184748,LEC
20,303.7369124537987,303.8726983212698,OCO
21,304.92100273724867,305.4994749615427,OCO
22,273.55926440478805,262.82875485348677,LEC
23,113.48025848064648,113.13008449919414,LEC
24,232.41539070476188,234.63532364003788,OCO
