Minisector,RUS,VET,Fastest
0,275.08746872242426,280.84761519795467,VET
1,157.23213382935162,156.3305193821158,RUS
2,146.428662771811,123.62701867880358,RUS
3,221.8701581383572,230.56975482147118,VET
4,279.3343577898137,284.6470538246906,VET
5,276.6923917336506,269.82277424944067,RUS
6,142.89118888391857,139.94155724496264,RUS
7,141.95818968374778,143.80714723010095,VET
8,137.54710525123127,128.04303406424776,RUS
9,189.12420994589567,187.66255299644334,RUS
10,130.6212748889441,116.40864748603214,RUS
11,120.31680250191619,108.85033988548396,RUS
12,166.507054895413,187.32649420493019,VET
13,265.0890671920773,270.86295572772053,VET
14,282.6851242287521,281.20392481785535,RUS
15,144.9091547322121,136.18467776337948,RUS
16,206.292605223765,177.7006875742897,RUS
17,175.47718068912377,191.10161451098094,VET
18,267.58387071410795,275.9682985691657,VET
19,288.5144444789611,295.7554751689907,VET
20,300.775905916753,310.3046429520936,VET
21,306.9100287985418,318.0502484603509,VET
22,309.6641362215734,320.3006802938776,VET
23,311.205015712364,322.6860978996826,VET
24,309.02748205835746,317.9925781845315,VET
25,303.8458336,,RUS
