Minisector,ALB,LEC,Fastest
0,295.70902746666667,292.12155779710145,ALB
1,304.51969692121213,300.6278984811594,ALB
2,273.8158121033571,283.40900275581816,LEC
3,113.73756797111456,111.42722566379629,ALB
4,227.7359180505747,228.0543096275862,LEC
5,274.1211378151619,271.51193678758506,ALB
6,205.32512905050504,209.9742439111111,LEC
7,172.06509289194074,171.95570309362049,ALB
8,205.08583683034857,219.53556926335773,LEC
9,216.1380962064516,229.8227012781609,LEC
10,117.9300316723128,119.50142004620636,LEC
11,231.51150637979092,231.49190161617832,ALB
12,121.04875281719801,119.90983413302317,ALB
13,228.96034368735633,223.72635325079517,ALB
14,275.8906282412576,273.1179997013333,ALB
15,221.34516276989245,222.38636243098415,LEC
16,198.3362348476105,198.97718063686276,LEC
17,255.80518054603175,254.46939072820513,ALB
18,202.63717162700237,213.45518572514453,LEC
19,191.33846118991596,185.16769073862434,ALB
20,267.7140375527893,262.34771025934066,ALB
21,292.0159720888889,287.8833331478261,ALB
22,168.26485601256826,170.1186163317553,LEC
23,219.0605588645161,212.06263315268816,ALB
24,275.6034739429998,271.11333245683153,ALB
25,286.7,284.9791658666667,ALB
