Minisector,TSU,RAI,Fastest
0,266.9601931368936,275.31552145651483,RAI
1,286.0289472,298.27236828070176,RAI
2,286.95005274028955,306.48915673162696,RAI
3,122.13115604848485,126.55180472902288,RAI
4,191.08451324542423,192.15517814744766,RAI
5,247.32956416145126,258.2711177287982,RAI
6,138.80640576012325,137.643853987348,TSU
7,195.61404152098766,196.87788701798942,RAI
8,254.83808607944454,257.4139570294161,RAI
9,276.5589601122807,284.25175432982456,RAI
10,220.1305413294999,223.44823709188364,RAI
11,175.6132734960362,178.91923159661923,RAI
12,185.68545980206548,188.67302644005804,RAI
13,145.8355713319146,149.97431937913854,RAI
14,171.81184257939395,173.4311224489642,RAI
15,159.6237393165266,159.78823974603176,RAI
16,218.37797971017142,210.5469888021052,TSU
17,225.04510942608695,232.0012431900621,RAI
18,232.6190196133052,229.0132170618659,TSU
19,230.94420377971014,245.5300736463768,RAI
20,141.70249948471601,138.36769853570948,TSU
21,134.62166731809523,134.83059608380952,RAI
22,167.08077065661064,169.0049840376991,RAI
23,147.92157998769738,144.26666655135134,TSU
24,224.81275959294572,229.20878429955283,RAI
