Minisector,GAS,KVY,Fastest
0,288.6014227677019,305.60086992856026,KVY
1,307.3288093942857,332.3015037593985,KVY
2,301.42936604444446,322.8718253968254,KVY
3,180.23294614701823,180.94011213796472,KVY
4,213.75603393891626,218.37037409196398,KVY
5,195.0844131504314,203.9571046046083,KVY
6,183.9562977910358,192.48156331069225,KVY
7,203.60904306236557,214.38517325660462,KVY
8,252.63154398747068,255.91260935364062,KVY
9,257.73335879999996,257.98697816979563,KVY
10,173.56974215449736,176.61179813075827,KVY
11,238.53788435700622,243.49182703589744,KVY
12,121.03076017163713,118.8922225530902,GAS
13,224.30100803683925,234.01030238362517,KVY
14,273.30007745590063,274.88824366077466,KVY
15,280.799436112032,279.64293491014496,GAS
16,204.29396340461173,202.68144736930867,GAS
17,181.87968560648866,194.52939683001293,KVY
18,267.45861800414076,274.186038961039,KVY
19,293.8598483393939,297.50794036128605,KVY
20,306.5314882133333,308.7940475936508,KVY
21,306.10166666666663,308.28499999999997,KVY
22,266.7285947936508,247.8100732102999,GAS
23,116.89377693897511,121.0017620805264,KVY
24,240.9835316278388,250.1970236761905,KVY
