Minisector,ALO,OCO,Fastest
0,272.97746389932155,274.18245166526316,OCO
1,294.6012152,296.2497179588638,OCO
2,293.4722822971362,293.91233335466666,OCO
3,176.03832429931973,180.09778918820862,OCO
4,119.12188712474477,114.96391402831317,ALO
5,233.43083249777777,232.01213952972432,ALO
6,276.53767063812495,278.92596127179485,OCO
7,282.1907414123457,288.3142079086632,OCO
8,176.16322379103084,174.8733145142857,ALO
9,140.00356511378754,136.71892649214197,ALO
10,249.88419464827587,246.91513909147403,ALO
11,285.9491524398421,286.486166272,OCO
12,295.0996669013333,297.56928876416487,OCO
13,277.6698717948718,271.1058642962963,ALO
14,294.30268135238947,290.9816185660952,ALO
15,293.6102386895238,295.89638991357725,OCO
16,251.11910842006017,246.45016036063492,ALO
17,221.9676144095238,219.85969464378937,ALO
18,273.59143383351727,274.332406637037,OCO
19,293.1281665706667,296.040160417438,OCO
20,291.7405958952523,295.66600008533334,OCO
21,228.55954293809523,225.72706656458092,ALO
22,253.05306329144207,246.29359512906404,ALO
23,137.65510794016566,138.6538960449905,OCO
24,209.55304279074832,208.62170373414423,ALO
25,255.33750080000002,255.11666773333332,ALO
