Minisector,PIA,HUL,Fastest
0,249.05210212539683,250.42127790225953,HUL
1,286.07987560495246,286.750568329697,HUL
2,172.26597843267584,173.2880276060037,HUL
3,159.0583475941875,160.55306237353383,HUL
4,258.1820506824909,257.3598581655065,PIA
5,273.57730618981105,272.27580260481795,PIA
6,251.24186411933496,240.87789786144182,PIA
7,209.3855839180508,208.20305818329584,PIA
8,160.8030130784997,160.12546885921088,PIA
9,220.64123851894786,216.28580628430643,PIA
10,273.84746575805787,270.5825480966183,PIA
11,129.56131162778087,115.84173952744831,PIA
12,215.25772801327562,216.945008046541,HUL
13,276.36573828455795,278.0193802869422,HUL
14,296.1001558961039,298.04477294203207,HUL
15,304.3211273820609,307.110326843637,HUL
16,246.4809711335421,232.82368473086422,PIA
17,124.25965991674235,129.7816656465272,HUL
18,126.97649529513863,130.98682035440078,HUL
19,110.67926834993608,123.42327809552464,HUL
20,226.68748149903175,230.92766146515402,HUL
21,261.9014129388152,262.81972877640004,HUL
22,248.81449734836124,236.2879172147667,PIA
23,217.44062142909883,213.8948090242034,PIA
24,137.9132119540553,141.294171946059,HUL
25,,214.2750048,HUL
