Minisector,PER,STR,Fastest
0,272.16577379047624,266.8559150733933,PER
1,249.0766076815423,272.019241131815,STR
2,114.55284815773211,120.28488105321112,STR
3,170.83115102862365,154.66586409018709,PER
4,183.0159123061074,186.90503112445597,STR
5,212.97462854461529,192.94725231785543,PER
6,269.2895010552281,264.59579616230883,PER
7,286.5388095238095,283.7567316855411,PER
8,202.03090955199283,195.6034722002721,PER
9,131.78019449103044,131.75373273372503,PER
10,126.83557233671195,116.7953100392671,PER
11,178.96912227509378,170.90626781159787,PER
12,230.39400851339332,226.2681717152243,PER
13,130.2940756926425,128.00264520659832,PER
14,152.60829391765083,154.47413902989706,STR
15,114.03084531437449,109.17533446959001,PER
16,242.00183151799783,241.48563423243422,PER
17,150.29706780241045,162.63859465017634,STR
18,188.63354438117446,169.900799799447,PER
19,126.5587344481744,136.2013962270974,STR
20,119.70918160819639,129.73010211011763,STR
21,120.16203431658876,112.24102870026788,PER
22,135.7171240664836,126.73855690699351,PER
23,217.33048562398875,214.95645486974357,PER
24,234.25151454528444,210.72438185530729,PER
25,,250.97619047619048,STR
