Minisector,LEC,GAS,Fastest
0,316.404809053705,321.4198529611861,GAS
1,313.02758877428573,327.01813632717085,GAS
2,165.46970612656085,160.42738094386885,LEC
3,163.08605785219314,157.6957107794217,LEC
4,203.9678594181818,195.42495768776013,LEC
5,149.22210769711316,142.98739617001362,LEC
6,203.02739102476193,190.8810168868547,LEC
7,272.84628375896085,270.4217858941414,LEC
8,290.7403014135873,293.2796875761905,GAS
9,282.21490643361346,288.91657522929313,GAS
10,243.67010821500935,236.70296619269456,LEC
11,245.38120321176274,237.3997422094608,LEC
12,221.33792096478288,216.1663441149271,LEC
13,180.19822895042734,181.2973861997558,GAS
14,135.173937850492,125.8988858501365,LEC
15,130.83819426290518,127.03874558168778,LEC
16,205.72252393962327,184.76982679977414,LEC
17,266.99302888685713,266.740452096,LEC
18,207.8117674838514,213.2449297408,GAS
19,113.09710062667362,109.08415509244848,LEC
20,205.7016147525926,192.25720182238783,LEC
21,188.83454461168947,176.7478894903154,LEC
22,250.411058469376,245.14630757647058,LEC
23,280.56030132148146,276.43348276735037,LEC
24,306.3719516009015,304.1580127396686,LEC
25,316.75780288701543,315.54250048,LEC
