Minisector,PER,SAI,Fastest
0,292.87877951238096,309.0160082526316,SAI
1,303.21833919655245,325.47114870305126,SAI
2,306.35379073283207,336.31851350059657,SAI
3,301.1798254035088,327.82754755555555,SAI
4,172.6620399388529,160.64274431958077,PER
5,204.71963344780576,205.81914510710132,SAI
6,227.6174047025845,233.56583330133333,SAI
7,263.5388252121212,267.26963753342767,SAI
8,262.7930960429799,260.2678722060287,PER
9,161.11457683620884,162.80821450907564,SAI
10,228.81482235581993,230.64698788155704,SAI
11,129.11472945736432,133.95542025992867,SAI
12,207.30920904156062,227.07666666666668,SAI
13,186.59347223576944,192.0769180740725,SAI
14,216.4248960066364,213.07627493435703,PER
15,237.0309774031746,244.884787242564,SAI
16,259.43868672126297,261.9176069262471,SAI
17,285.1873016888889,286.58416666666665,SAI
18,122.82835715526305,131.52724687817957,SAI
19,157.36477390898185,156.23377711075193,PER
20,147.13935784356363,140.80329374004245,PER
21,156.98719512991474,164.0920181722399,SAI
22,115.8563365524394,112.71565261490655,PER
23,229.90340413709185,222.86528403666915,PER
24,272.4539798201592,268.3665271249024,PER
25,284.5625002666667,283.36805546666665,PER
