Minisector,PER,VET,Fastest
0,257.43447970088187,258.3620213424225,VET
1,223.03592912696973,224.00591566451615,VET
2,141.54317311082505,143.12053329619067,VET
3,237.55043451169894,240.79323892789117,VET
4,267.0708331093333,270.05471066174704,VET
5,171.26624343893118,182.45541228148147,VET
6,99.0424882621806,99.27777798214555,VET
7,137.99364209628993,133.45112823479107,PER
8,249.81333794318198,247.86990255824654,PER
9,167.54627362879947,169.21052359859297,VET
10,182.69208901661008,181.76800072099422,PER
11,257.8520740466781,252.09341684627762,PER
12,243.5372599784142,235.55208342857142,PER
13,260.19877831296776,256.3821808924276,PER
14,283.58835026756816,278.92789815652174,PER
15,269.0560215139591,275.49950237866665,VET
16,135.15131040421338,138.9142322962225,VET
17,230.82984205999566,232.39393801773525,VET
18,277.976449715942,276.5755201777778,PER
19,288.963586968116,286.3624999884058,PER
20,291.69813314632034,289.08829702492756,PER
21,296.54438409275366,293.9536231884058,PER
22,141.23106721382618,151.86629177238783,VET
23,80.56143746330567,81.32899140744392,VET
24,155.16632168284204,163.38449810448145,VET
25,236.60416533333333,240.7874976,VET
