Minisector,PER,GAS,Fastest
0,283.4921674479214,276.08405090309645,PER
1,147.6112854934123,154.34636375853756,GAS
2,146.8052909965715,140.48540533699816,PER
3,223.58373688474202,223.65626130942468,GAS
4,283.71843692022264,281.29335347936507,PER
5,287.86921784470275,280.4811287493168,PER
6,142.22419462419552,141.11169212644123,PER
7,145.9897813969263,135.85639024639218,PER
8,142.87998976372924,133.69030499568805,PER
9,192.60207945231934,187.14267540491343,PER
10,131.82279371833656,124.19536295093111,PER
11,122.5261919797154,117.01908671537618,PER
12,161.47830278744289,164.867810496737,GAS
13,266.13372042045586,265.83846730187594,PER
14,290.9722796143251,286.49111121216373,PER
15,152.68803513729424,146.4345060876265,PER
16,204.13276553642908,197.46868748867726,PER
17,174.53605642820858,168.11946523047618,PER
18,271.09236497212584,266.71589493671183,PER
19,294.1481150793651,289.73598543183124,PER
20,309.9063708043625,303.2552875838816,PER
21,316.92801599061244,310.74982141142857,PER
22,320.55095030643275,313.63759283979743,PER
23,323.19760418666664,316.26710858989895,PER
24,320.64180672268907,313.6005620966744,PER
25,316.02999936,,PER
