Minisector,ALO,OCO,Fastest
0,293.28112101847876,293.47519429549317,OCO
1,300.60122820661246,300.48229376822485,ALO
2,222.57678789262545,215.99428390060604,ALO
3,139.67561532993062,134.10774652810426,ALO
4,223.15230696543304,218.1104524299408,ALO
5,166.70418689751122,164.53009829925307,ALO
6,178.27218401215654,167.07826795159787,ALO
7,252.7315013309102,247.05000186416285,ALO
8,279.2625189211808,275.6445996447619,ALO
9,286.82427200454543,283.873711442465,ALO
10,256.5960408410831,265.55061594564825,OCO
11,243.8945308781395,246.23172812030077,OCO
12,245.18515258794187,242.77515487266314,ALO
13,215.99040739961907,200.80297592995814,ALO
14,132.8656605753921,131.7000644027175,ALO
15,142.64717152172926,137.38127401569503,ALO
16,185.18875001904763,176.62961563988878,ALO
17,246.76723414518517,247.85769655979948,OCO
18,258.3002535755389,239.51802360392753,ALO
19,118.69343650026232,115.43911928842556,ALO
20,193.4277679388543,198.8550641485604,OCO
21,201.51540130993232,195.2200768572766,ALO
22,227.57176012334935,226.40713122686716,ALO
23,261.6938905722488,261.27209166962547,ALO
24,277.9268785280548,280.3503555369081,OCO
25,288.72618971428574,,ALO
