Minisector,PER,HAM,Fastest
0,291.8805278734288,289.0516921924515,PER
1,299.70472746666667,289.7939480177778,PER
2,164.7868856979581,160.1207960850315,PER
3,223.9550864529323,219.25313897243637,PER
4,273.234751325042,271.22142415407404,PER
5,293.08037542457913,292.53022504296297,PER
6,303.0314627256565,301.0016667022222,PER
7,175.7608861197616,165.02910019226593,PER
8,126.01764359560609,126.94295619014433,HAM
9,247.51591458861074,248.93313297297334,HAM
10,284.2280849662337,282.2963250998946,PER
11,297.30808257212124,290.86208051248195,PER
12,148.5958773113473,149.44727534148566,HAM
13,191.05614014894016,184.34618384499726,PER
14,256.5513513812387,252.4038526703896,PER
15,208.38352224620212,206.70119401086419,PER
16,214.87565966101207,209.58203974324394,PER
17,215.48045461478458,210.85239222008286,PER
18,240.54546292664998,242.10949799655305,HAM
19,275.21556224560146,277.65112085333334,HAM
20,291.30080570687966,294.6252740912554,HAM
21,261.7788755241099,264.14735956207886,HAM
22,223.10624326894924,220.8102797357661,PER
23,204.69136616847888,202.91089137292929,PER
24,265.21552557825055,262.5132421055479,PER
25,,279.34285714285716,HAM
