Minisector,HAM,MAG,Fastest
0,270.47377429691875,271.01669932308187,MAG
1,290.63450017705026,288.9573803553713,HAM
2,297.26386388143413,294.17343773333334,HAM
3,128.80678965603067,133.74195669218184,MAG
4,191.87035274832894,193.89512988742382,MAG
5,258.1865361735447,256.82495869374645,HAM
6,141.59817410238895,144.2407249201559,MAG
7,204.1508444914732,199.99707194494493,HAM
8,260.8786125510762,256.98561455901415,HAM
9,283.3199916485172,280.456117585045,HAM
10,225.8016133544172,239.97602913162058,MAG
11,177.66451809282793,186.21110591484208,MAG
12,186.57217349130204,183.98835360414847,HAM
13,146.18494521325283,147.78503859432112,MAG
14,179.28385981456222,171.4374729393868,HAM
15,158.62569009785693,155.1774421859133,HAM
16,215.63926596410235,211.4095460220735,HAM
17,232.80235957897594,241.2870563393657,MAG
18,236.51236486268607,234.17287665093346,HAM
19,236.75289857872244,250.95920095403844,MAG
20,144.2684858275267,141.3034925238683,HAM
21,138.15980589514703,140.1265979335674,MAG
22,168.9105459829106,160.7761048673874,HAM
23,150.80359573593495,147.54721633601056,HAM
24,227.63940055470994,224.6047651791339,HAM
25,,255.93333333333334,MAG
