Minisector,GAS,ALB,Fastest
0,250.77221904598932,245.41572188950983,GAS
1,116.20985203554994,121.47028533356668,ALB
2,260.3638648455214,264.99990854680135,ALB
3,304.9894051558045,306.85131371664625,ALB
4,308.0990963901876,300.258160501115,GAS
5,319.35269282816427,317.530377056508,GAS
6,332.65164666031257,330.3749098876792,GAS
7,336.08280436218297,330.58692887408324,GAS
8,177.7385556468479,185.5252456394131,ALB
9,174.34463437832946,177.49785378184126,ALB
10,171.86511969486676,172.21493253606852,ALB
11,164.92315907522428,168.8043189485814,ALB
12,247.26700839564475,250.52844717559395,ALB
13,256.10902597402594,240.99923422126318,GAS
14,267.6533497353038,257.88982703386216,GAS
15,269.00743733632623,249.22282488267462,GAS
16,163.63335822137068,165.39802200775947,ALB
17,175.00191511467582,173.87895031344115,GAS
18,228.1399231270831,230.7089342886104,ALB
19,280.3632923146812,278.91423700471285,GAS
20,302.12332633245836,302.33970725687647,ALB
21,309.88958333333335,308.98378829029394,GAS
22,307.88602980773607,307.9135373557841,ALB
23,239.83275744457563,220.79998967457334,GAS
24,113.34068726932222,108.86854640847656,GAS
