Minisector,COL,HAM,Fastest
0,294.0166708881957,285.5589542985432,COL
1,152.06264740489408,150.98345274153326,COL
2,155.4024362881446,144.01379835029837,COL
3,225.95150094051866,231.01891982283905,HAM
4,287.4639826841834,290.4748385108225,HAM
5,289.3266337015873,284.5038809698303,COL
6,143.52237664655482,135.22044275707538,COL
7,136.39099626202983,136.18817391224647,COL
8,134.84908234653798,124.50829450901935,COL
9,183.67966159730778,195.07880199260507,HAM
10,126.10738728696383,121.04717533890374,COL
11,128.57561034975637,120.49392296026672,COL
12,159.64050701369004,160.36394774948653,HAM
13,267.0062365564983,270.7180788089692,HAM
14,289.1859000608103,295.36821994074074,HAM
15,144.12365656329547,141.2193890936553,COL
16,203.80676088459694,186.23126807911132,COL
17,166.4748924248226,179.5819392140006,HAM
18,267.4681775193651,276.92672125968255,HAM
19,293.60259889278166,299.9707304956474,HAM
20,309.10848661660765,314.84393848283065,HAM
21,319.4825268182857,324.5518520550265,HAM
22,325.64307533079364,329.6409556512783,HAM
23,328.33944448,333.21534087272727,HAM
24,326.5700060409069,332.93953990555553,HAM
