Minisector,NOR,BEA,Fastest
0,285.46700840749514,284.83803100952383,NOR
1,301.6161456875421,300.185423079873,NOR
2,244.9159169211487,241.37820476671425,NOR
3,115.45057504045144,116.08561221939499,BEA
4,133.67890977759498,135.7352764755363,BEA
5,252.1883924063492,252.82392484554342,BEA
6,255.29882364305624,261.3930877596265,BEA
7,125.08584309850006,121.06957372665214,NOR
8,247.19938513720928,244.72973454495775,NOR
9,263.8730030015855,252.68863368106668,NOR
10,228.61843533964174,202.91103493860413,NOR
11,138.583409867183,138.8026375790555,BEA
12,204.33840450113584,204.53624543182684,BEA
13,268.00155831914753,267.4339210239703,NOR
14,117.78571269214511,121.45878618286947,BEA
15,188.70403948175087,185.7792017225321,NOR
16,262.79619912079727,258.162095768077,NOR
17,291.4794025991111,290.41244178406015,NOR
18,304.1305407753005,304.2406473788474,BEA
19,311.1918274077193,311.68872539607844,BEA
20,312.52293348090427,313.6595436596825,BEA
21,187.3929429334588,215.11077490405225,BEA
22,144.33539512123676,136.48337438282934,NOR
23,209.754814233934,208.60984306655521,NOR
24,240.01577223987118,237.50758319460928,NOR
25,273.14444373333333,270.85499904,NOR
