Minisector,RUS,RIC,Fastest
0,274.15214708844377,271.43541223098913,RUS
1,308.4852278630065,298.5761764392157,RUS
2,322.9107841172747,309.6799573005128,RUS
3,332.69482970151176,319.38589225589226,RUS
4,337.8903569980952,324.64143272442067,RUS
5,340.8097833943178,326.8993332622222,RUS
6,192.64638350513562,187.80334717355373,RUS
7,105.76639471403917,106.03509088396694,RIC
8,188.33887368989153,184.11374892785636,RUS
9,262.4194090321085,258.84434048888886,RUS
10,297.6313982501842,288.9251035813485,RUS
11,170.52137027094693,154.55010899044734,RUS
12,97.78186513936939,99.13077996680137,RIC
13,123.22249855869319,116.50248740884408,RUS
14,221.3102455222654,217.23708707225728,RUS
15,186.82798563747787,181.16659650174842,RUS
16,227.33190281544253,211.49972568031336,RUS
17,181.58203217428573,174.2803716674462,RUS
18,240.77537076210524,236.13314308723812,RUS
19,280.6857785566955,278.51439332868017,RUS
20,243.38844653116428,241.0680295674302,RUS
21,144.0283307176719,144.37346871188456,RIC
22,95.67394539117862,94.99048800979811,RUS
23,127.27766929563036,124.11220566429232,RUS
24,224.37289607111111,219.2655994311763,RUS
25,,255.2375,RIC
