Minisector,LEC,VER,Fastest
0,293.70869081142854,304.8286494532416,VER
1,304.83650318702234,327.41584548741025,VER
2,291.0997871809774,282.18698577632654,LEC
3,110.00514535390788,104.57545104037028,LEC
4,220.40160385346502,224.17157955742894,VER
5,274.3051414773183,287.56810545454545,VER
6,209.38369851950708,194.32476599692052,LEC
7,154.1784975187995,152.6659877155717,LEC
8,203.38795778428914,208.6098524804081,VER
9,220.30890622098386,211.9009426978155,LEC
10,121.15297747954934,117.53231868598769,LEC
11,229.57906243792917,227.89816092408162,LEC
12,117.53540617962013,117.23818647191058,LEC
13,227.33356491555557,224.24185487933207,LEC
14,276.4432707113315,277.1082253331839,VER
15,216.42760838270388,204.44708925597982,LEC
16,189.4771925495872,188.6894911666939,LEC
17,251.69916687183672,246.08595942626263,LEC
18,189.3246914621216,186.61252890672964,LEC
19,186.0740049599162,184.60111468635108,LEC
20,267.4681343011111,265.915312788569,LEC
21,287.4844955972789,290.73924501,VER
22,165.4612336100901,156.81358852630115,LEC
23,204.93631784089212,216.85227779136153,VER
24,276.4850069029957,273.6620046324285,LEC
