Minisector,SAI,GIO,Fastest
0,306.43301321025643,298.9727167285245,SAI
1,237.49349799206368,238.57732069767937,GIO
2,130.56982603370218,133.01519886937263,GIO
3,240.24092087142856,238.93997320504056,SAI
4,185.29403538484124,184.87389545124992,SAI
5,247.58750021505378,242.06515174141413,SAI
6,227.83455601563065,228.18123064494853,GIO
7,255.8890885633371,252.696925871746,SAI
8,291.7086964410916,286.06862880902344,SAI
9,204.77297515357955,210.51619507930036,GIO
10,208.00889868108106,203.80069104412271,SAI
11,275.0032150721693,270.6021265959184,SAI
12,212.88442826666665,210.6567552288288,SAI
13,247.3001626288172,244.71330854666667,SAI
14,290.59446053040296,284.32571037069596,SAI
15,312.9415457526278,298.0414001610751,SAI
16,319.9730897333333,302.81683327999997,SAI
17,220.6067074827493,230.10842541846864,GIO
18,265.29930659555555,261.0803170574713,SAI
19,297.89933380266666,289.2347726692173,SAI
20,318.4285003946667,301.98266696533335,SAI
21,323.89400101955835,304.35618754713875,SAI
22,149.96242050655232,157.6227956784762,GIO
23,233.90817656483082,227.7057109774831,SAI
24,298.1405916717949,282.8335856574102,SAI
25,313.94166613333334,296.0,SAI
