Minisector,HUL,HAM,Fastest
0,284.2735578684249,289.40468295902895,HAM
1,151.7582158530572,146.8337487364762,HUL
2,229.94090172294372,223.4939439963186,HUL
3,281.1717559896627,280.73313044462583,HUL
4,312.02078350708075,313.4246593575287,HAM
5,294.78652619957796,303.56120996502165,HAM
6,149.59275688257497,149.95021227934396,HAM
7,242.29645372843538,250.52060125475845,HAM
8,111.18979430943261,111.73159447380182,HAM
9,185.2293036568915,173.64137658378067,HUL
10,277.7200253470847,280.50226787613275,HAM
11,301.93412020148145,304.24630228009886,HAM
12,205.42292624033462,201.95960148398544,HUL
13,182.18223747604685,181.93415838500647,HUL
14,282.7705266677469,282.8606539167043,HAM
15,313.11109277614906,314.9166809194175,HAM
16,326.4885142653968,327.8394865080277,HAM
17,332.9764801850505,334.8199318048881,HAM
18,336.99851026219886,338.26306348583046,HAM
19,338.24375,339.7153835212949,HAM
20,182.3190383183865,174.34360089496468,HUL
21,185.2946462762022,184.9472277556811,HUL
22,283.3587653219992,281.13974146031745,HUL
23,312.48075441778633,314.0904020614204,HAM
24,322.1870816958797,326.1299697681028,HAM
