Minisector,BOT,HUL,Fastest
0,297.0748188289855,297.3313663469979,HUL
1,252.0379326978751,243.30748314224755,BOT
2,197.75781442457756,203.0883333688889,HUL
3,266.3705698751781,265.47927476892016,BOT
4,233.07440533333332,232.75862025255734,BOT
5,123.26068358828549,115.79790906032095,BOT
6,181.27528331294118,182.09107184761905,HUL
7,260.05933294933334,256.4149805587205,BOT
8,295.5774211590848,285.9755436985507,BOT
9,309.8762500266667,300.0101042646403,BOT
10,313.8076516358125,305.6453794247619,BOT
11,240.18092947692307,216.08413350703984,BOT
12,145.09256566735098,149.58038424562534,HUL
13,260.3886827294219,258.3289163539259,BOT
14,296.5582299163646,288.12757955192745,BOT
15,307.04333333333335,297.81301940386464,BOT
16,300.7309522793651,294.25541770385576,BOT
17,267.72499999999997,257.4862005268945,BOT
18,185.09205185344803,184.27758970184462,BOT
19,192.48956866054976,183.1207882977843,BOT
20,181.36239613876464,183.02034181369456,HUL
21,247.36739287733909,242.70909626660935,BOT
22,125.89273536394667,123.75930891743717,BOT
23,200.85888895695606,202.66075547428574,HUL
24,277.14412901818184,275.3682034567229,BOT
25,295.32500053333337,,BOT
