Minisector,NOR,TSU,Fastest
0,317.992055379317,309.61305880242423,NOR
1,145.19702057916,137.30806758787847,NOR
2,220.02452509707592,208.76801242843675,NOR
3,277.2687675911111,272.34973959715927,NOR
4,312.99635319338574,309.4250284661818,NOR
5,322.08684035932646,311.9215463054375,NOR
6,155.45122498263842,148.95085506888017,NOR
7,248.87954895817322,241.76750700901587,NOR
8,121.1468650096332,112.3479937976174,NOR
9,147.24194773690155,147.9664741091921,TSU
10,269.7728290332069,270.26716936519347,TSU
11,296.08175321125543,298.50081510260867,TSU
12,263.89632371866423,234.64746874069365,NOR
13,164.91903873261302,151.8187014825061,NOR
14,275.22663232007585,272.2590272464808,NOR
15,308.04799105683117,308.2869474070527,TSU
16,323.3516452774175,321.5558795437037,NOR
17,330.8657168954037,327.84490044121213,NOR
18,334.70826187839873,332.4939082244156,NOR
19,338.5611542327122,335.97082304265007,NOR
20,229.00777001714113,222.37334399613377,NOR
21,152.9600900748088,160.80247558524363,TSU
22,275.19917258906617,276.00212930324784,TSU
23,310.308728812977,310.02466459492064,NOR
24,320.5012584676364,324.4731562327273,TSU
25,320.96785645714283,,NOR
