Minisector,NOR,VER,Fastest
0,271.92873250562195,270.5256615556303,NOR
1,251.46336912787092,240.80448319117713,NOR
2,118.53289174101741,121.73127766845856,VER
3,169.14204519736035,168.2604899474475,NOR
4,196.97327890229278,204.7560330541714,VER
5,195.03229650648203,197.10965954099234,VER
6,263.4506924364626,266.00874226320343,VER
7,286.1806043687619,285.3659814251429,NOR
8,224.97460080263954,244.5014225482581,VER
9,143.52531568467106,147.40556528519554,VER
10,112.15670925955258,108.50709242257278,NOR
11,153.89476226831042,149.0236579083833,NOR
12,244.35001243255863,245.1244131326407,VER
13,149.90665412404994,152.44429125265125,VER
14,141.31992613965,148.7143302262735,VER
15,107.57995703240941,111.74649203222923,VER
16,216.92314436097158,215.41962198349205,NOR
17,231.34475274891255,241.89587724813427,VER
18,125.09902056703005,125.19665155138782,VER
19,238.2244776518595,240.1354733550885,VER
20,275.54628634324206,274.43593232761907,NOR
21,210.3959696152381,199.42178575581605,NOR
22,138.20433826753646,143.6141198010582,VER
23,213.05959125090908,220.54638967883602,VER
24,224.53894401135074,225.89923910399997,VER
25,,252.3380042044619,VER
