Minisector,STR,MAG,Fastest
0,281.4060509651452,277.20869697742927,STR
1,254.07522802174384,231.4427159888657,STR
2,270.27481834836533,260.42061504777905,STR
3,286.303703762963,280.1318918029246,STR
4,126.33684512830591,126.77816977605879,MAG
5,206.14769856754916,207.1409491896998,MAG
6,265.6655150268138,266.6153836098513,MAG
7,289.5172018507411,289.2917122221251,STR
8,301.7464776039017,300.51511192684865,STR
9,308.05,304.84909658972657,STR
10,297.4713584,282.7433678755638,STR
11,105.40143953890832,99.42278043118763,STR
12,220.22400447075668,221.96990157650623,MAG
13,269.77967100216046,267.7320298402578,STR
14,277.0266027485293,260.7350485188898,STR
15,128.382605183746,123.25239105086526,STR
16,200.33980822465216,196.63864647747295,STR
17,254.6240415937106,252.3024869952887,STR
18,253.89262516490982,247.51611197674293,STR
19,248.48818483969424,239.33720787953686,STR
20,148.65827844810494,148.02552906862581,STR
21,182.60809098940402,187.4501322266746,MAG
22,170.34115997807595,162.39333756167105,STR
23,188.0161594690906,189.88564247161906,MAG
24,247.07847071737547,248.49349562074,MAG
