Minisector,BOT,LEC,Fastest
0,295.1484610318559,293.46815446580086,BOT
1,305.5606515328321,304.45395824,BOT
2,310.34765022892225,310.7016273897455,LEC
3,310.77258773333335,311.02623009211095,LEC
4,211.49549333383248,199.73722853382068,BOT
5,229.60329205489566,224.05140718078655,BOT
6,273.69504044535705,266.4645829818182,BOT
7,281.28709659399584,271.83145860526844,BOT
8,199.37137114838708,196.3397327142857,BOT
9,161.20868614150945,159.30548322388748,BOT
10,194.61817808631315,178.6090777185877,BOT
11,266.00925647026065,257.68168208097796,BOT
12,260.7577906285714,255.24619629979296,BOT
13,237.92212163444353,230.72655605043593,BOT
14,279.0037876363636,268.2053403210686,BOT
15,185.98270672555935,179.31320143200776,BOT
16,228.28564732839507,217.1804005588255,BOT
17,249.7561639100539,250.50623540389822,LEC
18,143.10077933837928,139.36418286996243,BOT
19,247.8044889198157,238.09889440762925,BOT
20,285.3550862822511,276.8607140502165,BOT
21,258.94321277518713,267.7945409921325,LEC
22,153.34130679197727,147.8894637459877,BOT
23,221.4375908549671,208.64611945046366,BOT
24,277.22865217662337,271.23089784935064,BOT
25,289.52916693333333,286.63333546666667,BOT
