Minisector,HAM,MAG,Fastest
0,257.01002321927496,256.0406686857982,HAM
1,219.5214556417249,204.56508859408302,HAM
2,222.62552729446168,225.00026941823677,MAG
3,262.0668037610936,261.5913223602083,HAM
4,271.2928571936508,272.608547064254,MAG
5,227.36161983443483,210.88329738240827,HAM
6,98.95305988530684,94.35434376834422,HAM
7,176.42323878478302,193.9010630686087,MAG
8,275.3923833267186,278.5418554773312,MAG
9,302.21799457684085,306.98997217169364,MAG
10,311.9417944916567,319.764203077904,MAG
11,309.9448530196079,312.1145380809148,MAG
12,109.50505600517165,102.39109888649377,HAM
13,204.38135895624995,211.57049800845613,MAG
14,275.19123905064464,277.21446229155544,MAG
15,296.4771640407554,297.1773652310497,MAG
16,236.12682350083958,201.69943780313616,HAM
17,125.11095914788334,122.49032808395505,HAM
18,152.2784663151122,155.27801297103258,MAG
19,255.85914020526903,257.1789185549862,MAG
20,154.02190710032937,148.88673736175693,HAM
21,131.5010691536034,127.40327921082337,HAM
22,204.83444469719197,206.104732730319,MAG
23,205.1563042625892,197.70812854832445,HAM
24,170.2845628896982,163.56496917314453,HAM
25,230.66108822464582,,HAM
