Minisector,SAI,RAI,Fastest
0,300.43476364914716,299.79050558476195,SAI
1,319.8289057997321,319.19801488401635,SAI
2,327.5394736280702,328.6804899737281,RAI
3,324.0580829433584,332.6092106105263,RAI
4,190.0564228037178,194.1512159769809,RAI
5,226.86347699535267,222.0858384826602,SAI
6,271.0760028291976,270.1888861985745,SAI
7,267.7088536159127,279.4145754769175,RAI
8,193.08500864770838,190.85982709213835,SAI
9,150.01944916184507,157.98346051125114,RAI
10,192.7877033791917,187.3172908808652,SAI
11,263.4897252586755,262.6821165449275,SAI
12,245.4404175622205,253.70763788198568,RAI
13,228.3000793898713,224.28594895492682,SAI
14,274.3532327098735,273.2674240484848,SAI
15,171.34717424338623,179.86796088302765,RAI
16,220.07438624485505,218.62608430033075,SAI
17,247.02444106424812,252.55471959836012,RAI
18,137.5663043171755,136.52061070142204,SAI
19,246.67948245358468,238.7624754102857,SAI
20,283.4151852392671,280.8644771247715,SAI
21,249.45304665907784,265.71358799976946,RAI
22,144.09604216382422,144.55242699630304,RAI
23,213.5771983270318,201.02815995270936,SAI
24,275.99532358756113,269.550151691961,SAI
25,,286.6833326222222,RAI
