Minisector,RUS,ALB,Fastest
0,286.1290773409524,296.6048723160503,ALB
1,209.0016594901099,213.8346420580499,ALB
2,224.82517247531374,226.70146229242835,ALB
3,270.2026444539362,274.0897377491153,ALB
4,241.16632801009007,239.93670138758094,RUS
5,132.5728226605729,127.20501517862941,RUS
6,214.7672971220202,209.60817081872003,RUS
7,260.81363811935745,253.1198812612472,RUS
8,249.67659992958153,230.8402996254284,RUS
9,235.21552080099192,229.41874449970052,RUS
10,272.75802856412184,271.99120802321994,RUS
11,289.6684348882452,292.5179398679494,ALB
12,301.1664457198746,304.7613931088254,ALB
13,305.85699554971427,310.8597511296494,ALB
14,303.0836169386667,306.6669245710812,ALB
15,257.90606856171183,247.84308467442057,RUS
16,242.25422246345914,233.14670216666664,RUS
17,275.09441922599046,275.7795371167457,ALB
18,289.36938669515524,288.32420991788524,RUS
19,151.74491405335604,145.42587332304626,RUS
20,210.61334680702726,206.41537624373603,RUS
21,185.95859684431016,174.18637825381563,RUS
22,139.41316211778752,141.76342333021424,ALB
23,231.95165171315261,237.84085740495863,ALB
24,275.4012193979221,280.19172583298246,ALB
