Minisector,PER,OCO,Fastest
0,294.81929835789475,297.61865716826765,OCO
1,220.46321794801125,218.25578798323806,PER
2,143.99266935880155,140.43081538126344,PER
3,224.21119906208423,219.02986115555555,PER
4,159.29026865377415,158.86648083663565,PER
5,169.68627023292933,176.53110802870026,OCO
6,247.49787307597745,249.59297052154193,OCO
7,270.9081251047619,271.9634540249665,OCO
8,279.2763157894737,282.0975942334464,OCO
9,263.41589216761906,261.2375,PER
10,242.49853208872787,238.62130896073603,PER
11,244.01398707010375,239.93492623208402,PER
12,209.94633297066667,204.19226230584718,PER
13,139.45953008695756,135.10312259109125,PER
14,152.94602527790826,143.95091308756574,PER
15,180.56479712643477,173.21322911118853,PER
16,254.10107805703643,251.78741431292516,PER
17,239.40603114820976,240.78858689855073,OCO
18,117.84329951991259,113.3776456137489,PER
19,195.07666594817476,193.51428567477956,PER
20,196.35987891539733,191.6065353332831,PER
21,232.08020804087337,225.68892339544516,PER
22,263.68086333714285,260.72438346660323,PER
23,279.9295392728357,277.9705191494191,PER
24,290.00532414814813,289.96372549019605,PER
25,293.50833386666665,293.9083328,OCO
