Minisector,BOT,VER,Fastest
0,257.6705217735752,257.2776815827823,BOT
1,132.74718074934498,130.67786402626146,BOT
2,263.0421134145893,266.73957133377115,VER
3,303.3173114902327,307.96513307824324,VER
4,302.84174114285713,305.09570228545334,VER
5,309.08636979157575,313.32217251428574,VER
6,315.2905863901235,318.85921513086424,VER
7,316.69283943427456,319.90782075663833,VER
8,205.07385736069347,198.54991119549356,BOT
9,198.11608139537566,193.68100730027436,BOT
10,184.47436734303437,182.74338426791311,BOT
11,167.42925946472192,166.87281389985304,BOT
12,252.37828293414955,253.80544264595736,VER
13,276.2866056894407,274.63482259367845,BOT
14,279.43905668253626,280.53553736116135,VER
15,279.18456363614524,271.4808602333333,BOT
16,182.32092719325144,181.324910794408,BOT
17,193.22027229798033,192.17546918391525,BOT
18,241.19366301681043,243.84264508790568,VER
19,286.23177840865617,287.9918676375212,VER
20,305.8114582761905,308.73938081874314,VER
21,312.12890514957223,315.96056548571426,VER
22,309.83776453192235,309.472959292517,BOT
23,260.64389364343367,251.10142935510203,BOT
24,114.25145466071461,120.0686853742031,VER
25,227.5249984,,BOT
