Minisector,SAI,ALB,Fastest
0,280.4887969924812,278.37427996414857,SAI
1,120.47481885756692,117.6009055241031,SAI
2,159.19779220999237,148.0856789245213,SAI
3,208.63514748014651,208.21037302002887,SAI
4,158.50930831315787,160.70454356708666,ALB
5,243.01980434521465,240.45994401966036,SAI
6,202.98192376772505,194.52671351966606,SAI
7,132.76403963291344,132.21977236462584,SAI
8,232.94274214119426,231.89957134754346,SAI
9,274.4775092191759,273.2941483915593,SAI
10,282.37923504358616,283.55814072888893,ALB
11,147.7218943047619,143.28687693825395,SAI
12,215.67071432727272,212.16242968449436,SAI
13,268.15204244176215,267.3065441169665,SAI
14,256.76507425989075,271.1851538661587,ALB
15,99.64285031963003,99.39054709608651,SAI
16,219.4457016813328,218.2730166125255,SAI
17,269.1509524342857,269.98316217640695,ALB
18,291.9203843181287,293.8652426179663,ALB
19,304.27703753673603,302.6094378936481,SAI
20,310.19845941064426,309.92109707332145,SAI
21,280.8082544506868,286.2251659391388,ALB
22,147.86321988238757,145.44614894777771,SAI
23,232.30047898701298,233.84381135528344,ALB
24,276.71349792232814,275.9414588266667,SAI
