Minisector,PER,ALO,Fastest
0,261.78073496088695,267.7143271403922,ALO
1,280.33420715411256,289.20419363387504,ALO
2,288.02253811266274,296.51338382222224,ALO
3,127.11930908571321,131.20404596353472,ALO
4,193.5457855256316,181.1019504158368,PER
5,247.5224866783657,259.1630851320301,ALO
6,136.7932607047104,140.87964273927153,ALO
7,198.10773727502223,188.95711551867953,PER
8,256.36022638108136,246.72944918730158,PER
9,276.8494119715738,270.38926264603424,PER
10,227.87449237656568,236.69611874245612,ALO
11,179.37560072613132,189.91425556238448,ALO
12,186.28874105755153,174.97410039647914,PER
13,140.11568662716041,143.93679730778805,ALO
14,171.27517855610924,158.48766051143267,PER
15,156.09730204629582,150.31286031442434,PER
16,213.9933366828623,191.9562240982659,PER
17,228.16139726666665,231.32473321973615,ALO
18,228.43034403555555,223.15259431030304,PER
19,243.29915538644912,244.35451885916004,ALO
20,145.87314706407113,139.3309917030566,PER
21,138.63473105809996,140.34782245266888,ALO
22,165.23114198162963,153.4492599058358,PER
23,146.3419403525541,140.72272719181657,PER
24,225.0974142143733,214.74778276072723,PER
25,248.76388622222223,247.26,PER
