Minisector,LEC,STR,Fastest
0,269.06624922245305,268.6990068191893,LEC
1,291.02873452013495,288.81747719241616,LEC
2,297.73191029826216,296.4671224746032,LEC
3,122.39676775424678,121.07985538129036,LEC
4,186.4340125929184,192.83821595482019,STR
5,249.41509020076273,252.00182205490972,STR
6,137.6049392542536,132.91036332844226,LEC
7,196.2908123993957,197.34015776334127,STR
8,252.74436244798133,256.24290245312926,STR
9,279.49741871247966,280.9426708174043,STR
10,234.01208281931503,225.3497311004363,LEC
11,173.43803823731957,169.92763711468663,LEC
12,185.28428030319728,180.09485313316955,LEC
13,141.04930766553653,143.7522202997441,STR
14,179.45809383065418,173.12922436281553,LEC
15,158.1334428538755,156.44602574599077,LEC
16,209.55441915841405,216.2858749355089,STR
17,232.2883141555286,229.38308766280966,LEC
18,236.78808666445698,235.69567127449085,LEC
19,243.12983267542234,218.72896512211256,LEC
20,136.33707185302836,141.6714802174955,STR
21,133.1245887068381,126.37021644937397,LEC
22,163.06672809090077,169.41145672708632,STR
23,148.2221306251465,143.9354040907346,LEC
24,231.23953544398483,222.40738303324918,LEC
