Minisector,RIC,OCO,Fastest
0,271.43541223098913,267.2840756929972,RIC
1,298.5761764392157,292.2921826816528,RIC
2,309.6799573005128,305.9818872313725,RIC
3,319.38589225589226,315.04458540055026,RIC
4,324.64143272442067,320.9770450330734,RIC
5,326.8993332622222,323.5512500148148,RIC
6,187.80334717355373,216.9691166522567,OCO
7,106.44827934051371,102.5013552799817,RIC
8,186.40164037013653,187.20111524733045,OCO
9,258.84434048888886,256.8359749320574,RIC
10,288.9251035813485,286.18938269238095,RIC
11,154.55010899044734,156.76997629180954,OCO
12,99.13077996680137,96.19428503652028,RIC
13,116.50248740884408,109.89379673824469,RIC
14,217.23708707225728,211.44270929554284,RIC
15,181.16659650174842,176.44446269315523,RIC
16,210.75731390696575,221.89243384444444,OCO
17,174.77396141103597,169.99158129142714,RIC
18,237.61383482867168,234.2594589922078,RIC
19,279.2241621008549,273.1361214531602,RIC
20,238.38739954466334,246.77102337928554,OCO
21,143.62719022035856,143.2001434503319,RIC
22,94.51971326489219,94.16457404574254,RIC
23,125.80042835959827,122.63066776336066,RIC
24,220.90494485986616,215.46616080793288,RIC
25,255.2375,250.53000192000002,RIC
