Minisector,HUL,HAD,Fastest
0,305.549846382399,297.32256054416524,HUL
1,322.51618420266664,306.26953134285714,HUL
2,332.1554896870799,310.73227452239587,HUL
3,309.95626845333334,301.1030388187654,HUL
4,160.9335234918927,163.5494308393701,HAD
5,204.1394876779221,212.36592066930172,HAD
6,234.66152955847167,238.79918060605394,HAD
7,268.859847825989,268.12437404,HUL
8,247.58481978412698,247.43639858631113,HUL
9,154.39181742540882,159.12624389994056,HAD
10,220.81348588738834,217.16055571418872,HUL
11,122.41387053645066,122.62669946586088,HAD
12,232.59666807926902,224.59231897484042,HUL
13,177.8286846216322,160.5326435992521,HUL
14,217.81629553421845,222.54942291369903,HAD
15,240.91888621978126,241.48609075384854,HAD
16,269.97132533391056,268.7794622256854,HUL
17,301.6932950857143,290.2527743991534,HUL
18,147.3749261400816,137.2650514839235,HUL
19,168.29021831619048,165.3261243202303,HUL
20,135.34585724163708,140.85961707509492,HAD
21,235.8452431985489,229.06973906301792,HUL
22,265.3771318056755,260.9280952933671,HUL
23,249.83956628502165,249.79438757725515,HUL
24,282.3752518872188,278.12678884408655,HUL
