Minisector,LEC,MAG,Fastest
0,287.7681305365392,293.5486719873836,MAG
1,296.0047567758576,303.1865474342857,MAG
2,282.7282965069217,278.48645626755473,LEC
3,104.70541656361192,103.97092355702395,LEC
4,226.39331031746534,220.41636084666666,LEC
5,267.192385481697,271.58587961984136,MAG
6,203.336980911558,210.99164856047,MAG
7,159.38871406422723,155.00710960216594,LEC
8,214.47701113799792,213.06966154170493,LEC
9,226.79883998524375,210.5978985474767,LEC
10,109.47112898742688,108.92231400141804,LEC
11,225.31758465395353,227.93180087467695,MAG
12,121.66496970862585,116.79222677739683,LEC
13,220.80079951798285,223.06027468139683,MAG
14,272.3441130305787,277.3134360973765,MAG
15,209.4542572074523,202.86597293750566,LEC
16,196.18152789322315,186.2222593966843,LEC
17,252.32489399700248,249.56556450432234,LEC
18,210.47534707482433,191.24374939393496,LEC
19,180.18093529891,179.43502188021162,LEC
20,259.7247277465728,262.0427294068618,MAG
21,282.95416726417443,290.111048335427,MAG
22,173.17454969268357,160.27186766889508,LEC
23,212.01841094353094,214.74357770366242,MAG
24,268.9467649546325,272.22582313454546,MAG
