Minisector,MAG,KVY,Fastest
0,288.1870856486544,290.9664500516914,KVY
1,195.10720860063702,193.1788251836727,MAG
2,227.20114289753252,227.68809272477392,KVY
3,270.96248411299723,272.76544071406926,KVY
4,230.8326397574251,227.6742561051396,MAG
5,126.06921478445646,123.30442220770344,MAG
6,208.4064017458231,213.46637389189146,KVY
7,255.67023780424555,256.2928637164933,KVY
8,206.21711134110703,201.77141133698152,MAG
9,205.89077649192143,209.06747318962087,KVY
10,261.9916225979027,262.793771826051,KVY
11,208.0302130374152,198.36127884302357,MAG
12,175.42451125452635,186.96681825496225,KVY
13,256.07125769433105,261.59186916335557,KVY
14,276.97202825486653,280.0997030137454,KVY
15,258.39648874933914,258.103649777643,MAG
16,238.231234561271,244.63285993649123,KVY
17,270.342304451212,274.2280380006691,KVY
18,283.12141609071637,286.8164440198296,KVY
19,175.16597533907665,179.11986115320616,KVY
20,212.6579783113802,210.3094984439932,MAG
21,173.0577836587919,161.21411676012195,MAG
22,140.9554734132263,147.3998796533846,KVY
23,237.02095519053023,242.80136128412462,KVY
24,275.0114171053826,282.01382685094507,KVY
25,285.45833173333335,,MAG
