Minisector,NOR,PIA,Fastest
0,275.6839808463768,276.69786805333337,PIA
1,297.05856418191627,297.9681693881097,PIA
2,295.83228912,298.8135861312253,PIA
3,180.04254265957593,174.37441925358956,NOR
4,123.71381549654528,118.94723244166845,NOR
5,239.1981187425496,238.63385195539394,NOR
6,281.4182104178679,282.27897606278685,PIA
7,294.43672309732426,298.6317080888889,PIA
8,188.36991823392736,184.7638039452754,NOR
9,144.08989882123035,144.7187463493283,PIA
10,251.84226154909092,255.2849998206061,PIA
11,290.4040596136616,291.1423351209975,PIA
12,304.3977388728716,305.1365252593513,PIA
13,281.8928624162319,290.33402459447007,PIA
14,296.4589686865561,298.9018195453291,PIA
15,298.95057402037264,302.1432737834921,PIA
16,252.37223665942233,268.69505676045435,PIA
17,230.247060491436,239.71040563809524,PIA
18,277.34804779035153,281.15582799250166,PIA
19,299.26109939250796,300.540970394228,PIA
20,299.43748373803123,307.93000039921884,PIA
21,238.7218594370236,252.35149865306124,PIA
22,263.16494753862435,268.59103598985973,PIA
23,142.82933903774946,138.48394211658223,NOR
24,217.38731456809214,219.08179094433862,PIA
25,255.89441029343018,259.88249856,PIA
