Minisector,NOR,RUS,Fastest
0,285.46700840749514,283.81345132279574,NOR
1,301.6161456875421,300.19490638080475,NOR
2,244.9159169211487,231.23610829357906,NOR
3,115.45057504045144,114.69347532629058,NOR
4,133.67890977759498,136.6114889192728,RUS
5,252.1883924063492,255.42729025946142,RUS
6,255.29882364305624,264.0076238095238,RUS
7,125.08584309850006,123.52863529788385,NOR
8,247.19938513720928,247.81441212006226,RUS
9,263.8730030015855,250.45541966250576,NOR
10,228.61843533964174,211.37277593365567,NOR
11,138.583409867183,144.29136938787056,RUS
12,204.33840450113584,208.6803100674074,RUS
13,268.00155831914753,267.08809258962964,NOR
14,117.78571269214511,123.63367869451325,RUS
15,188.70403948175087,187.53462977559929,NOR
16,262.79619912079727,260.8922381824,NOR
17,291.4794025991111,292.2273134801762,RUS
18,304.1305407753005,306.99043859649123,RUS
19,311.1918274077193,312.33095338102834,RUS
20,312.52293348090427,316.2264285714286,RUS
21,187.3929429334588,196.30631072374348,RUS
22,144.33539512123676,137.91704086932793,NOR
23,209.754814233934,214.92534159123707,RUS
24,240.01577223987118,234.7568256347741,NOR
25,273.14444373333333,271.84821485714286,NOR
