Minisector,LEC,ALB,Fastest
0,295.21675326350737,284.14724986915826,LEC
1,150.19545297068393,154.3792050150411,ALB
2,143.55932409591793,146.51734234027052,ALB
3,226.07829741823508,222.66087586462947,LEC
4,296.8552637312542,287.6774719976246,LEC
5,288.6821299930736,283.7309028642856,LEC
6,136.63967476374083,136.83074600848764,ALB
7,134.61317072281943,137.38466629756613,ALB
8,129.6527112795616,126.9017691158403,LEC
9,188.14316833307623,184.54311564633417,LEC
10,127.71070773463713,123.06931546284795,LEC
11,121.39485457015051,126.72536477063473,ALB
12,161.66262459954652,167.67836995156748,ALB
13,269.5927317775574,267.8883282653968,LEC
14,296.68564271705685,291.3711069000756,LEC
15,143.6811839210681,146.768109359273,ALB
16,199.23648292990802,197.10844916408232,LEC
17,162.7172643506451,175.45841602352485,ALB
18,272.9286515894303,270.710152737018,LEC
19,297.49406833510477,294.66380416,LEC
20,314.49254404239343,309.823396377024,LEC
21,322.44255482872256,319.1390307265306,LEC
22,328.0715635016355,324.0319786178606,LEC
23,338.8173938237909,326.7238157810527,LEC
24,341.30535807746344,325.13028888266564,LEC
25,341.0,,LEC
