Minisector,PIA,ALO,Fastest
0,273.68317104110974,267.7635700276408,PIA
1,300.8629564495051,288.77966305092656,PIA
2,307.33037567222,295.55777320006393,PIA
3,121.3977966293976,123.39923536369521,ALO
4,184.12427575134086,189.16473078762115,ALO
5,255.72135764649818,251.7262449254971,PIA
6,132.6365092053457,136.9349471807117,ALO
7,189.49516080328533,193.21177369606178,ALO
8,253.22198208435375,250.09258742900928,PIA
9,278.7325826913851,279.03380271824267,ALO
10,231.10667858388214,231.64880382012979,ALO
11,164.0705433634938,182.63933796894815,ALO
12,185.01443074563377,180.69835942756205,PIA
13,143.86297157855884,145.32491761773676,ALO
14,171.68319991721043,170.10585490539776,PIA
15,160.9304902700748,157.5422843953712,PIA
16,208.58382834659523,211.0107409139639,ALO
17,233.626216301296,232.8155470706792,PIA
18,233.75703873177002,236.77352641535137,ALO
19,234.6409169066667,238.88315560411255,ALO
20,142.93864448685275,137.57960134692922,PIA
21,130.53439089048138,138.53635329715667,ALO
22,160.4645767161354,161.45173551034316,ALO
23,149.65166068690823,146.9593192893484,PIA
24,224.2182306649785,217.10714942612066,PIA
25,250.70909323636363,251.6,ALO
