Minisector,NOR,COL,Fastest
0,288.5917139242548,294.0166708881957,COL
1,159.56040705812595,152.06264740489408,NOR
2,149.1420672945266,155.4024362881446,COL
3,226.35326873167435,225.95150094051866,NOR
4,286.1168762305845,287.4639826841834,COL
5,288.2043142247619,289.3266337015873,COL
6,140.3119273555954,142.68317620592376,COL
7,135.5799337991121,137.4442412362741,COL
8,139.86107344144654,135.76436974136527,NOR
9,187.9255142671977,181.07744877516035,NOR
10,126.29508218303413,126.10738728696383,NOR
11,124.28630023112846,129.6807999011951,COL
12,169.08745418199914,156.88517743578646,NOR
13,270.26423179687754,266.3543337980852,NOR
14,291.08514737052155,288.55834395466667,NOR
15,150.77114000580562,146.2281228011695,NOR
16,200.14616312157682,204.40024276486167,COL
17,176.0929037481612,161.3809607112461,NOR
18,270.92493046495787,265.11533703326006,NOR
19,293.7011024587239,293.60259889278166,NOR
20,308.69413241465753,309.10848661660765,COL
21,316.94759835580953,319.4825268182857,COL
22,321.89082884791446,325.492305923104,COL
23,324.49984313766237,328.20550003200003,COL
24,323.00553244298334,326.9702845432299,COL
25,319.0,322.96749952,COL
