Minisector,SAI,ALO,Fastest
0,295.71231020071025,292.0106045393863,SAI
1,315.22516666666667,303.51420102930484,SAI
2,318.80437789601274,307.0,SAI
3,180.69779226492622,189.64600047217553,ALO
4,205.8634208096587,214.0903731920484,ALO
5,199.77425872108836,201.34060317360542,ALO
6,262.5473232822531,264.7920309327581,ALO
7,265.0707640088889,260.44567890430835,SAI
8,213.80650979785167,211.55460341742233,SAI
9,221.78134711350108,214.1219876120935,SAI
10,139.14747641800557,141.84987012311225,ALO
11,200.38847808793645,203.46126719576466,ALO
12,185.5450153058564,179.20171678833333,SAI
13,252.78281894749924,255.03140607717458,ALO
14,180.41296533176472,179.96469265285714,SAI
15,229.52337646337662,232.39632304060987,ALO
16,278.2515305953954,280.9663488686659,ALO
17,290.7461850569697,292.34336174787876,ALO
18,288.00756943644444,286.6207484952381,SAI
19,273.1765832080944,265.6544356146939,SAI
20,268.723673809858,261.0465392164102,SAI
21,262.9057331495527,263.7905966471692,ALO
22,229.80934154202725,232.36016083536742,ALO
23,209.569069072987,206.38682903661623,SAI
24,270.19382187573046,270.1821365426087,SAI
