Minisector,LEC,OCO,Fastest
0,290.54726708917747,287.88482699298896,LEC
1,301.04701521429075,298.8504388491228,LEC
2,305.3566144078847,302.7942984421053,LEC
3,306.5596501333333,299.9652062933333,LEC
4,176.53796796466312,167.60123895727892,LEC
5,214.5553344733686,201.86871107359397,LEC
6,241.70937484444445,225.80366737066666,LEC
7,265.40290579392445,260.5479474210658,LEC
8,258.1266529755927,248.55485706666664,LEC
9,168.31070316037753,158.6547769482046,LEC
10,232.35315130108975,222.0132721777778,LEC
11,135.9388641409087,128.41396633547797,LEC
12,229.78419338651614,228.76595328266916,LEC
13,195.4504343162762,179.84035803750555,LEC
14,220.44014573012217,219.41245327869,LEC
15,251.46908316723844,236.128333517402,LEC
16,264.30203094320115,257.8106069818182,LEC
17,285.5726189393484,280.49226224761907,LEC
18,165.99785658907885,160.31501855438597,LEC
19,176.84238278512714,167.8399144056561,LEC
20,146.63605015677655,142.2786844393609,LEC
21,170.2728612529972,163.7226011005291,LEC
22,114.66191805257415,111.93483371465685,LEC
23,223.36792238165785,220.69436284481841,LEC
24,272.1943829397062,267.79596916587474,LEC
